angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.44,"[330, 12, 94, 123]",0.0,0.14,0.0,0.05,0.37,0.0
0.48,"[330, 11, 94, 124]",0.0,0.11,0.0,0.06,0.35,0.0
0.53,"[327, 8, 96, 127]",0.0,0.09,0.0,0.05,0.33,0.0
0.38,"[326, 8, 96, 128]",0.0,0.16,0.0,0.04,0.41,0.01
0.11,"[328, 11, 93, 124]",0.0,0.14,0.0,0.03,0.71,0.01
0.12,"[327, 11, 94, 125]",0.0,0.14,0.0,0.03,0.7,0.01
0.14,"[327, 12, 93, 124]",0.0,0.19,0.0,0.05,0.6,0.01
0.21,"[325, 10, 95, 126]",0.0,0.18,0.0,0.03,0.57,0.01
0.31,"[325, 9, 96, 127]",0.0,0.17,0.0,0.02,0.5,0.0
0.32,"[324, 9, 96, 127]",0.0,0.17,0.0,0.03,0.47,0.0
0.36,"[325, 9, 95, 126]",0.0,0.13,0.0,0.02,0.49,0.0
0.39,"[324, 9, 96, 126]",0.0,0.12,0.0,0.05,0.43,0.0
0.37,"[324, 9, 96, 126]",0.0,0.15,0.0,0.04,0.45,0.0
0.45,"[325, 9, 95, 125]",0.0,0.17,0.0,0.04,0.33,0.0
0.24,"[325, 8, 95, 126]",0.0,0.12,0.0,0.17,0.47,0.0
0.09,"[325, 6, 95, 127]",0.0,0.06,0.0,0.09,0.75,0.0
0.05,"[325, 5, 96, 129]",0.0,0.08,0.0,0.09,0.78,0.0
0.07,"[325, 5, 96, 129]",0.0,0.09,0.0,0.1,0.75,0.0
0.05,"[325, 5, 96, 129]",0.0,0.1,0.0,0.08,0.77,0.0
0.03,"[319, 1, 106, 140]",0.0,0.04,0.0,0.19,0.73,0.0
0.15,"[325, 0, 95, 133]",0.0,0.04,0.01,0.51,0.3,0.0
0.08,"[320, 2, 104, 138]",0.0,0.05,0.02,0.68,0.17,0.0
0.11,"[320, 2, 105, 139]",0.0,0.03,0.01,0.61,0.23,0.0
0.11,"[321, 3, 104, 137]",0.0,0.04,0.01,0.53,0.31,0.0
0.12,"[321, 3, 104, 137]",0.0,0.03,0.01,0.53,0.31,0.0
0.12,"[321, 3, 104, 138]",0.0,0.02,0.01,0.58,0.27,0.0
0.12,"[321, 3, 104, 138]",0.0,0.02,0.02,0.58,0.26,0.0
0.13,"[321, 3, 104, 138]",0.0,0.02,0.02,0.57,0.26,0.0
0.12,"[321, 3, 104, 138]",0.0,0.03,0.02,0.58,0.25,0.0
0.14,"[321, 4, 104, 137]",0.0,0.02,0.01,0.56,0.26,0.0
0.33,"[328, 5, 96, 128]",0.0,0.04,0.02,0.44,0.17,0.0
0.4,"[328, 6, 96, 127]",0.0,0.03,0.02,0.42,0.13,0.0
0.39,"[328, 6, 95, 128]",0.0,0.03,0.02,0.38,0.18,0.0
0.19,"[328, 6, 95, 127]",0.0,0.08,0.01,0.31,0.41,0.0
0.06,"[325, 9, 98, 125]",0.0,0.09,0.0,0.21,0.64,0.0
0.03,"[325, 9, 98, 126]",0.0,0.11,0.0,0.18,0.67,0.0
0.11,"[325, 9, 99, 125]",0.0,0.11,0.0,0.2,0.58,0.0
0.19,"[326, 9, 98, 123]",0.0,0.08,0.01,0.3,0.42,0.0
0.2,"[327, 5, 96, 129]",0.0,0.05,0.01,0.31,0.44,0.0
0.38,"[327, 6, 96, 128]",0.0,0.07,0.01,0.29,0.25,0.0
0.42,"[327, 6, 95, 128]",0.0,0.05,0.01,0.3,0.22,0.0
0.34,"[327, 6, 95, 127]",0.0,0.05,0.01,0.36,0.24,0.0
0.33,"[327, 6, 95, 127]",0.0,0.05,0.01,0.37,0.24,0.0
0.31,"[327, 7, 95, 126]",0.0,0.05,0.02,0.42,0.21,0.0
0.29,"[327, 7, 95, 126]",0.0,0.04,0.01,0.43,0.22,0.0
0.3,"[327, 6, 95, 127]",0.0,0.05,0.01,0.36,0.28,0.0
0.3,"[327, 7, 95, 126]",0.0,0.04,0.02,0.42,0.22,0.0
0.36,"[327, 6, 95, 127]",0.0,0.05,0.01,0.34,0.25,0.0
0.28,"[327, 7, 95, 126]",0.0,0.04,0.02,0.43,0.23,0.0
0.26,"[328, 7, 94, 126]",0.0,0.05,0.02,0.44,0.23,0.0
0.28,"[327, 9, 95, 125]",0.0,0.06,0.01,0.37,0.28,0.0
0.2,"[328, 8, 94, 126]",0.0,0.04,0.02,0.49,0.24,0.0
0.2,"[327, 8, 95, 126]",0.0,0.04,0.03,0.5,0.23,0.0
0.29,"[326, 10, 96, 122]",0.0,0.05,0.02,0.47,0.16,0.0
0.23,"[327, 8, 95, 126]",0.0,0.03,0.02,0.46,0.25,0.0
0.37,"[326, 7, 96, 127]",0.0,0.04,0.01,0.3,0.27,0.0
0.39,"[326, 7, 96, 127]",0.0,0.05,0.01,0.29,0.25,0.0
0.29,"[325, 11, 97, 121]",0.0,0.06,0.01,0.43,0.21,0.0
0.25,"[327, 8, 95, 126]",0.0,0.04,0.02,0.43,0.26,0.0
0.26,"[327, 8, 95, 126]",0.0,0.04,0.02,0.4,0.28,0.0
0.25,"[327, 8, 95, 126]",0.0,0.04,0.02,0.42,0.27,0.0
0.26,"[326, 8, 95, 126]",0.0,0.04,0.02,0.43,0.25,0.0
0.25,"[327, 8, 94, 126]",0.0,0.05,0.02,0.44,0.24,0.0
0.23,"[327, 8, 95, 126]",0.0,0.04,0.02,0.47,0.23,0.0
0.22,"[327, 8, 95, 126]",0.0,0.04,0.02,0.47,0.24,0.0
0.33,"[327, 7, 95, 127]",0.0,0.04,0.03,0.4,0.2,0.0
0.38,"[328, 10, 94, 123]",0.0,0.06,0.01,0.31,0.25,0.0
0.38,"[328, 10, 94, 123]",0.0,0.06,0.01,0.3,0.25,0.0
0.3,"[328, 8, 94, 125]",0.0,0.05,0.01,0.43,0.21,0.0
0.3,"[328, 8, 94, 125]",0.0,0.05,0.01,0.41,0.23,0.0
0.26,"[327, 9, 95, 123]",0.0,0.08,0.02,0.49,0.15,0.0
0.33,"[328, 9, 95, 124]",0.0,0.04,0.01,0.34,0.27,0.0
0.31,"[328, 9, 94, 124]",0.0,0.05,0.02,0.39,0.23,0.0
0.24,"[328, 7, 94, 126]",0.0,0.06,0.02,0.46,0.21,0.0
0.23,"[327, 8, 95, 124]",0.0,0.07,0.01,0.51,0.16,0.0
0.27,"[328, 8, 94, 125]",0.0,0.05,0.02,0.42,0.24,0.0
0.29,"[328, 9, 94, 124]",0.0,0.04,0.02,0.42,0.24,0.0
0.22,"[328, 9, 94, 123]",0.0,0.07,0.02,0.5,0.19,0.0
0.21,"[328, 8, 94, 124]",0.0,0.09,0.01,0.5,0.18,0.0
0.21,"[328, 8, 94, 124]",0.0,0.09,0.01,0.5,0.18,0.0
0.22,"[328, 9, 94, 123]",0.0,0.09,0.02,0.49,0.17,0.0
0.22,"[328, 9, 94, 123]",0.0,0.09,0.02,0.49,0.17,0.0
