,box,angry,disgust,fear,happy,sad,surprise,neutral,timeline
138,"[375, 197, 216, 293]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.600150622134905
139,"[373, 193, 218, 292]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,4.633485046932984
140,"[376, 191, 218, 294]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.666819471731063
141,"[377, 192, 219, 294]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.700153896529142
142,"[378, 193, 219, 294]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.733488321327221
143,"[379, 195, 218, 292]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.7668227461253
144,"[380, 196, 219, 294]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,4.800157170923379
145,"[384, 199, 216, 291]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,4.833491595721458
146,"[388, 202, 213, 285]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,4.866826020519537
147,"[390, 203, 213, 285]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,4.900160445317616
148,"[392, 199, 216, 293]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,4.933494870115695
149,"[390, 203, 218, 298]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,4.966829294913774
150,"[395, 207, 216, 294]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,5.000163719711853
151,"[401, 218, 211, 280]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,5.033498144509932
152,"[398, 208, 214, 297]",0.0,0.0,0.0,0.97,0.01,0.0,0.02,5.066832569308011
153,"[396, 202, 218, 305]",0.0,0.0,0.0,0.96,0.02,0.0,0.01,5.1001669941060905
154,"[397, 204, 219, 308]",0.0,0.0,0.0,0.95,0.03,0.0,0.01,5.133501418904169
155,"[401, 212, 218, 308]",0.0,0.0,0.0,0.96,0.01,0.01,0.02,5.166835843702248
